variable_name,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
2019-01-05 01:00:00,100150,273.07,1.83,0.15,272.97,3.07
2019-01-05 02:00:00,100120,272.89,1.58,0.15,272.79,2.41
2019-01-05 03:00:00,100050,272.84,0.92,0.15,272.74,1.24
2019-01-05 04:00:00,100010,272.6,0.33,0.15,272.5,0.45
2019-01-05 05:00:00,100020,271.43,1.13,0.15,271.33,1.57
2019-01-05 06:00:00,100060,270.34,1.92,0.15,270.24,2.67
2019-01-05 07:00:00,100080,269.7,2.44,0.15,269.6,3.49
2019-01-05 08:00:00,100110,270.11,2.6,0.15,270.01,4.14
2019-01-05 09:00:00,100090,271.29,3.26,0.15,271.19,4.42
2019-01-05 10:00:00,100080,271.72,3.26,0.15,271.62,3.59
2019-01-05 11:00:00,100010,272.17,2.8,0.15,272.07,3.05
2019-01-05 12:00:00,99940,272.59,2.75,0.15,272.49,3.06
2019-01-05 13:00:00,99890,272.95,2.95,0.15,272.85,3.36
2019-01-05 14:00:00,99900,273.2,2.98,0.15,273.1,3.59
2019-01-05 15:00:00,99930,273.13,2.25,0.15,273.03,3.25
2019-01-05 16:00:00,99980,272.48,1.85,0.15,272.38,2.98
2019-01-05 17:00:00,100000,271.48,2.03,0.15,271.38,3.03
2019-01-05 18:00:00,100050,270.96,2.19,0.15,270.86,3.19
2019-01-05 19:00:00,100090,270.68,2.25,0.15,270.58,3.33
2019-01-05 20:00:00,100110,270.73,2.2,0.15,270.63,3.34
2019-01-05 21:00:00,100090,270.84,2.31,0.15,270.74,3.63
2019-01-05 22:00:00,100070,270.84,2.62,0.15,270.74,4.52
2019-01-05 23:00:00,100040,270.78,2.74,0.15,270.68,4.78
2019-01-06 00:00:00,100030,270.42,2.74,0.15,270.32,4.67
2019-01-06 01:00:00,100060,269.63,2.98,0.15,269.53,4.76
2019-01-06 02:00:00,100080,268.91,3.27,0.15,268.81,5.1
2019-01-06 03:00:00,100090,268.45,3.57,0.15,268.35,5.94
2019-01-06 04:00:00,100140,267.89,3.59,0.15,267.79,6.5
2019-01-06 05:00:00,100220,267.68,3.53,0.15,267.58,6.76
2019-01-06 06:00:00,100320,267.9,3.83,0.15,267.8,7.34
2019-01-06 07:00:00,100460,268.19,4.76,0.15,268.09,8.15
2019-01-06 08:00:00,100660,268.68,5.96,0.15,268.58,8.63
2019-01-06 09:00:00,100840,269.08,6.64,0.15,268.98,8.72
2019-01-06 10:00:00,100970,269.13,7.77,0.15,269.03,9.73
2019-01-06 11:00:00,101050,268.51,8.26,0.15,268.41,10
2019-01-06 12:00:00,101160,267.72,8.35,0.15,267.62,10
2019-01-06 13:00:00,101300,266.8,8.35,0.15,266.7,10.06
2019-01-06 14:00:00,101460,265.8,7.98,0.15,265.7,9.91
2019-01-06 15:00:00,101630,264.59,7.22,0.15,264.49,9.71
2019-01-06 16:00:00,101810,262.9,6.36,0.15,262.8,9.65
2019-01-06 17:00:00,101990,261.19,5.51,0.15,261.09,9.37
2019-01-06 18:00:00,102150,259.57,5.15,0.15,259.47,9.41
2019-01-06 19:00:00,102260,258.17,5.07,0.15,258.07,9.33
2019-01-06 20:00:00,102340,256.77,4.88,0.15,256.67,9.06
2019-01-06 21:00:00,102400,255.46,4.86,0.15,255.36,9.08
2019-01-06 22:00:00,102470,254.29,4.74,0.15,254.19,8.97
2019-01-06 23:00:00,102510,253.1,4.35,0.15,253,8.31
2019-01-07 00:00:00,102570,251.8,3.99,0.15,251.7,7.19
2019-01-07 01:00:00,102640,250.69,3.78,0.15,250.59,6.26
2019-01-07 02:00:00,102730,249.83,3.65,0.15,249.73,5.77
2019-01-07 03:00:00,102800,249.05,3.69,0.15,248.95,5.79
